,delay,packet_loss,netstream_upward,netstream_downward
8055,6.555555556,0.0,352680.0,724910.0
8056,6.444444444,0.0,222660.0,371211.0
8057,6.611111111,0.0,228271.0,366532.0
8058,6.555555556,0.0,204920.0,250343.0
8059,5.666666667,0.0,206543.0,256286.0
8060,6.166666667,0.0,185994.0,352550.0
8061,6.533333333,0.0,199821.0,297484.0
8062,6.277777778,0.0,279337.0,379362.0
8063,6.555555556,0.0,178337.0,237850.0
8064,6.388888889,0.0,249697.0,441804.0
8065,7.0,0.0,792278.0,815850.0
8066,7.111111111,0.0,912105.0,966429.0
8067,7.761904762,0.0,1602662.0,13413270.0
8068,7.5,0.0,932717.0,3707108.0
8069,7.777777778,0.0,897891.8,3868892.2
8070,7.444444444,0.0,2062144.0,995662.0
8071,7.111111111,0.0,10619479.0,1945949.0
8072,7.055555556,0.0,852142.0,558967.0
8073,7.555555556,0.277777778,1378087.0,12081961.0
8074,7.277777778,0.0,3161948.7600000002,3890286.2399999998
8075,7.444444444,0.0,837584.0,700956.0
8076,7.555555556,0.0,1372221.0,11036048.0
8077,7.5,0.0,983680.0,4734126.0
8078,7.166666667,0.0,775777.0,504156.0
8079,7.0,0.0,1412512.0,13262855.0
8080,6.944444444,0.0,993290.0,5447548.0
8081,7.611111111,0.0,730853.0,393828.0
8082,7.333333333,0.0,900333.0,682377.0
8083,7.888888889,0.0,756696.0,538382.0
8084,7.5,0.0,710239.0,489707.0
8085,7.0,0.0,1419574.0,13151343.0
8086,7.0,0.0,936869.0,4118508.0
8087,7.111111111,0.0,624186.0,309265.0
8088,7.333333333,0.0,777554.0,390416.0
8089,7.0,0.0,686369.0,438509.0
8090,7.777777778,0.0,752992.0,563124.0
8091,7.944444444,0.0,1516011.0,13235067.0
8092,7.5,0.0,818238.0,3441719.0
8093,7.0,0.0,760749.0,680470.0
8094,7.888888889,0.0,882783.0,764198.0
8095,7.0,0.0,946154.6,3736915.6
8096,7.0,0.0,815000.0,502297.0
8097,7.444444444,0.0,1543632.0,13609438.0
8098,7.619047619,0.0,867460.0,3313991.0
8099,7.111111111,0.0,708005.0,259562.0
8100,7.333333333,0.0,976050.32,4284440.720000001
8101,7.0,0.0,739622.0,576605.0
8102,6.944444444,0.0,709148.0,397769.0
8103,6.944444444,0.0,1510712.0,14300338.0
8104,7.111111111,0.0,750144.0,2805395.0
8105,7.166666667,0.0,937135.2640000001,4472909.544
8106,7.5,0.0,871348.0,567379.0
8107,7.5,0.0,793027.0,573065.0
8108,7.166666667,0.0,751575.0,505298.0
8109,7.444444444,0.0,1461702.0,12950752.0
8110,7.055555556,0.0,962957.4528000001,3813880.7088
8111,7.111111111,0.0,763411.0,592789.0
8112,7.555555556,0.0,834750.0,520552.0
8113,7.222222222,0.0,702047.0,379452.0
8114,7.611111111,0.0,703228.0,483286.0
8115,7.611111111,0.0,1381532.0,12077084.0
8116,7.944444444,0.0,876993.6,2810632.6
8117,7.833333333,0.0,731373.0,484913.0
8118,7.555555556,0.0,755573.0,344212.0
8119,7.333333333,0.0,664325.0,315097.0
8120,7.555555556,0.0,634296.0,226021.0
8121,6.944444444,0.0,1221120.0,12111405.0
8122,7.611111111,0.0,929599.0,4693291.0
8123,7.666666667,0.0,724547.0,429621.0
8124,7.722222222,0.0,842629.0,505088.0
8125,7.055555556,0.0,870438.2,3593085.2
8126,7.611111111,0.0,636967.0,294465.0
8127,7.5,0.0,1260159.0,10276361.0
8128,7.666666667,0.0,866948.04,3019724.04
8129,7.166666667,0.0,697204.0,430504.0
8130,7.833333333,0.0,854659.0,488774.0
8131,6.944444444,0.0,863187.408,2901965.608
8132,7.0,0.0,724437.0,448416.0
8133,7.0,0.0,1495179.0,13640869.0
8134,7.444444444,0.0,728153.0,4201041.0
8135,7.166666667,0.0,933123.0815999999,4336213.1216
8136,7.222222222,0.0,750587.0,365019.0
8137,7.333333333,0.0,926295.81632,4598311.62432
8138,7.777777778,0.0,693392.0,499925.0
8139,7.666666667,0.0,1333388.0,12299762.0
8140,7.5,0.0,795055.0,3952343.0
8141,7.666666667,0.0,899743.563264,4343072.124864
8142,7.666666667,0.0,929574.8759168001,5138682.749836801
8143,7.611111111,0.0,696332.0,312202.0
8144,7.222222222,0.0,612089.0,232255.0
8145,7.166666667,0.0,1319891.0,12835184.0
8146,7.888888889,0.0,891526.08783616,4572279.1749401605
8147,7.222222222,0.0,662415.0,383855.0
8148,7.222222222,0.0,795648.0,513572.0
8149,7.444444444,0.0,575389.0,198085.0
8150,7.555555556,0.0,637132.0,305961.0
8151,7.0,0.0,1267012.0,9244983.0
8152,7.611111111,0.0,787519.2,2129291.2
8153,7.111111111,0.0,688974.0,436366.0
8154,7.833333333,0.0,791205.24,2462937.2399999998
8155,7.777777778,0.0,626422.0,186401.0
8156,7.444444444,0.0,595467.0,253428.0
8157,7.444444444,0.0,1426817.0,14745987.0
8158,7.555555556,0.0,645716.0,1528178.0
8159,7.833333333,0.0,552442.0,113693.0
8160,7.611111111,0.0,734274.0,241810.0
8161,7.611111111,0.0,790943.2,3376619.2
8162,7.611111111,0.0,647257.0,306242.0
8163,7.611111111,0.0,1105112.0,9137779.0
8164,7.388888889,0.0,766005.64,2635228.6399999997
8165,7.444444444,0.0,716572.0,381177.0
8166,7.5,0.0,735104.0,275704.0
8167,7.0,0.0,627625.0,338516.0
8168,7.333333333,0.0,611743.0,195636.0
8169,7.5,0.0,1380335.0,13372820.0
8170,7.555555556,0.0,712639.0,2684923.0
